prompt,intent,action_type,path,category,args,tags,action_json
Provision Azure Backup with terraform,execute_script,terraform,azure/terraform_azure_backup,azure,,"azure,backup,recovery","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_backup"", ""explanation"": ""Azure Backup""}"
Set up Azure Backup,execute_script,terraform,azure/terraform_azure_backup,azure,,"azure,backup,recovery","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_backup"", ""explanation"": ""Azure Backup""}"
Deploy Azure Backup,execute_script,terraform,azure/terraform_azure_backup,azure,,"azure,backup,recovery","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_backup"", ""explanation"": ""Azure Backup""}"
Create Azure CosmosDB using terraform,execute_script,terraform,azure/terraform_azure_cosmosdb,azure,,"azure,cosmosdb,nosql,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_cosmosdb"", ""explanation"": ""Azure CosmosDB""}"
Provision Azure CosmosDB with terraform,execute_script,terraform,azure/terraform_azure_cosmosdb,azure,,"azure,cosmosdb,nosql,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_cosmosdb"", ""explanation"": ""Azure CosmosDB""}"
Set up Azure CosmosDB,execute_script,terraform,azure/terraform_azure_cosmosdb,azure,,"azure,cosmosdb,nosql,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_cosmosdb"", ""explanation"": ""Azure CosmosDB""}"
Deploy Azure CosmosDB,execute_script,terraform,azure/terraform_azure_cosmosdb,azure,,"azure,cosmosdb,nosql,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_cosmosdb"", ""explanation"": ""Azure CosmosDB""}"
Create Azure Function using terraform,execute_script,terraform,azure/terraform_azure_function,azure,,"azure,function,serverless","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_function"", ""explanation"": ""Azure Function""}"
Provision Azure Function with terraform,execute_script,terraform,azure/terraform_azure_function,azure,,"azure,function,serverless","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_function"", ""explanation"": ""Azure Function""}"
Set up Azure Function,execute_script,terraform,azure/terraform_azure_function,azure,,"azure,function,serverless","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_function"", ""explanation"": ""Azure Function""}"
Deploy Azure Function,execute_script,terraform,azure/terraform_azure_function,azure,,"azure,function,serverless","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_function"", ""explanation"": ""Azure Function""}"
Create Azure Elastic IP using terraform,execute_script,terraform,azure/terraform_azure_networks_elastic_ip,azure,,"azure,ip,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_elastic_ip"", ""explanation"": ""Azure Elastic IP""}"
Provision Azure Elastic IP with terraform,execute_script,terraform,azure/terraform_azure_networks_elastic_ip,azure,,"azure,ip,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_elastic_ip"", ""explanation"": ""Azure Elastic IP""}"
Set up Azure Elastic IP,execute_script,terraform,azure/terraform_azure_networks_elastic_ip,azure,,"azure,ip,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_elastic_ip"", ""explanation"": ""Azure Elastic IP""}"
Deploy Azure Elastic IP,execute_script,terraform,azure/terraform_azure_networks_elastic_ip,azure,,"azure,ip,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_elastic_ip"", ""explanation"": ""Azure Elastic IP""}"
Create Azure Load Balancer using terraform,execute_script,terraform,azure/terraform_azure_networks_lb,azure,,"azure,loadbalancer,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_lb"", ""explanation"": ""Azure Load Balancer""}"
Provision Azure Load Balancer with terraform,execute_script,terraform,azure/terraform_azure_networks_lb,azure,,"azure,loadbalancer,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_lb"", ""explanation"": ""Azure Load Balancer""}"
Set up Azure Load Balancer,execute_script,terraform,azure/terraform_azure_networks_lb,azure,,"azure,loadbalancer,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_lb"", ""explanation"": ""Azure Load Balancer""}"
Deploy Azure Load Balancer,execute_script,terraform,azure/terraform_azure_networks_lb,azure,,"azure,loadbalancer,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_lb"", ""explanation"": ""Azure Load Balancer""}"
Create Azure NSG using terraform,execute_script,terraform,azure/terraform_azure_networks_nsg,azure,,"azure,nsg,firewall,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_nsg"", ""explanation"": ""Azure NSG""}"
Provision Azure NSG with terraform,execute_script,terraform,azure/terraform_azure_networks_nsg,azure,,"azure,nsg,firewall,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_nsg"", ""explanation"": ""Azure NSG""}"
Set up Azure NSG,execute_script,terraform,azure/terraform_azure_networks_nsg,azure,,"azure,nsg,firewall,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_nsg"", ""explanation"": ""Azure NSG""}"
Deploy Azure NSG,execute_script,terraform,azure/terraform_azure_networks_nsg,azure,,"azure,nsg,firewall,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_nsg"", ""explanation"": ""Azure NSG""}"
Create Azure Subnet using terraform,execute_script,terraform,azure/terraform_azure_networks_subnet,azure,,"azure,subnet,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_subnet"", ""explanation"": ""Azure Subnet""}"
Set up Azure Subnet with terraform,execute_script,terraform,azure/terraform_azure_networks_subnet,azure,,"azure,subnet,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_subnet"", ""explanation"": ""Azure Subnet""}"
Provision Azure Subnet,execute_script,terraform,azure/terraform_azure_networks_subnet,azure,,"azure,subnet,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_subnet"", ""explanation"": ""Azure Subnet""}"
Configure Azure Subnet,execute_script,terraform,azure/terraform_azure_networks_subnet,azure,,"azure,subnet,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_subnet"", ""explanation"": ""Azure Subnet""}"
Create Azure VNet using terraform,execute_script,terraform,azure/terraform_azure_networks_vnet,azure,,"azure,vnet,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_vnet"", ""explanation"": ""Azure VNet""}"
Provision Azure VNet with terraform,execute_script,terraform,azure/terraform_azure_networks_vnet,azure,,"azure,vnet,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_vnet"", ""explanation"": ""Azure VNet""}"
Set up Azure VNet,execute_script,terraform,azure/terraform_azure_networks_vnet,azure,,"azure,vnet,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_vnet"", ""explanation"": ""Azure VNet""}"
Deploy Azure VNet,execute_script,terraform,azure/terraform_azure_networks_vnet,azure,,"azure,vnet,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_vnet"", ""explanation"": ""Azure VNet""}"
Create Azure VPN using terraform,execute_script,terraform,azure/terraform_azure_networks_vpn,azure,,"azure,vpn,network,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_vpn"", ""explanation"": ""Azure VPN""}"
Set up Azure VPN with terraform,execute_script,terraform,azure/terraform_azure_networks_vpn,azure,,"azure,vpn,network,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_vpn"", ""explanation"": ""Azure VPN""}"
Provision Azure VPN,execute_script,terraform,azure/terraform_azure_networks_vpn,azure,,"azure,vpn,network,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_vpn"", ""explanation"": ""Azure VPN""}"
Configure Azure VPN,execute_script,terraform,azure/terraform_azure_networks_vpn,azure,,"azure,vpn,network,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_networks_vpn"", ""explanation"": ""Azure VPN""}"
Create Azure Redis Cache using terraform,execute_script,terraform,azure/terraform_azure_redis,azure,,"azure,redis,cache","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_redis"", ""explanation"": ""Azure Redis Cache""}"
Provision Azure Redis Cache with terraform,execute_script,terraform,azure/terraform_azure_redis,azure,,"azure,redis,cache","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_redis"", ""explanation"": ""Azure Redis Cache""}"
Set up Azure Redis Cache,execute_script,terraform,azure/terraform_azure_redis,azure,,"azure,redis,cache","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_redis"", ""explanation"": ""Azure Redis Cache""}"
Deploy Azure Redis Cache,execute_script,terraform,azure/terraform_azure_redis,azure,,"azure,redis,cache","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_redis"", ""explanation"": ""Azure Redis Cache""}"
Create Azure AD Group using terraform,execute_script,terraform,azure/terraform_azure_security_ad_group,azure,,"azure,ad,group,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_security_ad_group"", ""explanation"": ""Azure AD Group""}"
Provision Azure AD Group with terraform,execute_script,terraform,azure/terraform_azure_security_ad_group,azure,,"azure,ad,group,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_security_ad_group"", ""explanation"": ""Azure AD Group""}"
Set up Azure AD Group,execute_script,terraform,azure/terraform_azure_security_ad_group,azure,,"azure,ad,group,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_security_ad_group"", ""explanation"": ""Azure AD Group""}"
Deploy Azure AD Group,execute_script,terraform,azure/terraform_azure_security_ad_group,azure,,"azure,ad,group,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_security_ad_group"", ""explanation"": ""Azure AD Group""}"
Create Azure AD User using terraform,execute_script,terraform,azure/terraform_azure_security_ad_user,azure,,"azure,ad,user,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_security_ad_user"", ""explanation"": ""Azure AD User""}"
Provision Azure AD User with terraform,execute_script,terraform,azure/terraform_azure_security_ad_user,azure,,"azure,ad,user,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_security_ad_user"", ""explanation"": ""Azure AD User""}"
Set up Azure AD User,execute_script,terraform,azure/terraform_azure_security_ad_user,azure,,"azure,ad,user,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_security_ad_user"", ""explanation"": ""Azure AD User""}"
Deploy Azure AD User,execute_script,terraform,azure/terraform_azure_security_ad_user,azure,,"azure,ad,user,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_security_ad_user"", ""explanation"": ""Azure AD User""}"
Set up Azure Key Vault using terraform,execute_script,terraform,azure/terraform_azure_security_key_vault,azure,,"azure,keyvault,secrets,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_security_key_vault"", ""explanation"": ""Azure Key Vault""}"
Configure Azure Key Vault with terraform,execute_script,terraform,azure/terraform_azure_security_key_vault,azure,,"azure,keyvault,secrets,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_security_key_vault"", ""explanation"": ""Azure Key Vault""}"
Create Azure Key Vault,execute_script,terraform,azure/terraform_azure_security_key_vault,azure,,"azure,keyvault,secrets,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_security_key_vault"", ""explanation"": ""Azure Key Vault""}"
Provision Azure Key Vault,execute_script,terraform,azure/terraform_azure_security_key_vault,azure,,"azure,keyvault,secrets,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_security_key_vault"", ""explanation"": ""Azure Key Vault""}"
Create Azure Role Assignment using terraform,execute_script,terraform,azure/terraform_azure_security_role_assignment,azure,,"azure,role,rbac,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_security_role_assignment"", ""explanation"": ""Azure Role Assignment""}"
Provision Azure Role Assignment with terraform,execute_script,terraform,azure/terraform_azure_security_role_assignment,azure,,"azure,role,rbac,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_security_role_assignment"", ""explanation"": ""Azure Role Assignment""}"
Set up Azure Role Assignment,execute_script,terraform,azure/terraform_azure_security_role_assignment,azure,,"azure,role,rbac,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_security_role_assignment"", ""explanation"": ""Azure Role Assignment""}"
Deploy Azure Role Assignment,execute_script,terraform,azure/terraform_azure_security_role_assignment,azure,,"azure,role,rbac,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_security_role_assignment"", ""explanation"": ""Azure Role Assignment""}"
Create Azure Site Recovery using terraform,execute_script,terraform,azure/terraform_azure_site_recovery,azure,,"azure,recovery,disaster","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_site_recovery"", ""explanation"": ""Azure Site Recovery""}"
Provision Azure Site Recovery with terraform,execute_script,terraform,azure/terraform_azure_site_recovery,azure,,"azure,recovery,disaster","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_site_recovery"", ""explanation"": ""Azure Site Recovery""}"
Set up Azure Site Recovery,execute_script,terraform,azure/terraform_azure_site_recovery,azure,,"azure,recovery,disaster","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_site_recovery"", ""explanation"": ""Azure Site Recovery""}"
Deploy Azure Site Recovery,execute_script,terraform,azure/terraform_azure_site_recovery,azure,,"azure,recovery,disaster","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_site_recovery"", ""explanation"": ""Azure Site Recovery""}"
Create Azure SQL Database using terraform,execute_script,terraform,azure/terraform_azure_sql,azure,,"azure,sql,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_sql"", ""explanation"": ""Azure SQL Database""}"
Provision Azure SQL Database with terraform,execute_script,terraform,azure/terraform_azure_sql,azure,,"azure,sql,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_sql"", ""explanation"": ""Azure SQL Database""}"
Set up Azure SQL Database,execute_script,terraform,azure/terraform_azure_sql,azure,,"azure,sql,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_sql"", ""explanation"": ""Azure SQL Database""}"
Deploy Azure SQL Database,execute_script,terraform,azure/terraform_azure_sql,azure,,"azure,sql,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_sql"", ""explanation"": ""Azure SQL Database""}"
Create Azure Storage using terraform,execute_script,terraform,azure/terraform_azure_storage,azure,,"azure,storage,blob","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_storage"", ""explanation"": ""Azure Storage""}"
Provision Azure Storage with terraform,execute_script,terraform,azure/terraform_azure_storage,azure,,"azure,storage,blob","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_storage"", ""explanation"": ""Azure Storage""}"
Set up Azure Storage,execute_script,terraform,azure/terraform_azure_storage,azure,,"azure,storage,blob","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_storage"", ""explanation"": ""Azure Storage""}"
Deploy Azure Storage,execute_script,terraform,azure/terraform_azure_storage,azure,,"azure,storage,blob","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_storage"", ""explanation"": ""Azure Storage""}"
Create Azure three-tier app using terraform,execute_script,terraform,azure/terraform_azure_three_tier_application,azure,,"azure,3tier,application,architecture","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_three_tier_application"", ""explanation"": ""Azure three-tier app""}"
Provision Azure three-tier app with terraform,execute_script,terraform,azure/terraform_azure_three_tier_application,azure,,"azure,3tier,application,architecture","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_three_tier_application"", ""explanation"": ""Azure three-tier app""}"
Set up Azure three-tier app,execute_script,terraform,azure/terraform_azure_three_tier_application,azure,,"azure,3tier,application,architecture","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_three_tier_application"", ""explanation"": ""Azure three-tier app""}"
Deploy Azure three-tier app,execute_script,terraform,azure/terraform_azure_three_tier_application,azure,,"azure,3tier,application,architecture","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_three_tier_application"", ""explanation"": ""Azure three-tier app""}"
Provision Azure VM using terraform,execute_script,terraform,azure/terraform_azure_vm_basic,azure,,"azure,vm,compute","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_vm_basic"", ""explanation"": ""Azure VM""}"
Create Azure VM with terraform,execute_script,terraform,azure/terraform_azure_vm_basic,azure,,"azure,vm,compute","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_vm_basic"", ""explanation"": ""Azure VM""}"
Deploy a virtual machine on AZURE,execute_script,terraform,azure/terraform_azure_vm_basic,azure,,"azure,vm,compute","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_vm_basic"", ""explanation"": ""Azure VM""}"
Set up Azure VM,execute_script,terraform,azure/terraform_azure_vm_basic,azure,,"azure,vm,compute","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""azure/terraform_azure_vm_basic"", ""explanation"": ""Azure VM""}"
Create GCP Backup using terraform,execute_script,terraform,gcp/terraform_gcp_backup,gcp,,"gcp,backup,recovery","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_backup"", ""explanation"": ""GCP Backup""}"
Provision GCP Backup with terraform,execute_script,terraform,gcp/terraform_gcp_backup,gcp,,"gcp,backup,recovery","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_backup"", ""explanation"": ""GCP Backup""}"
Set up GCP Backup,execute_script,terraform,gcp/terraform_gcp_backup,gcp,,"gcp,backup,recovery","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_backup"", ""explanation"": ""GCP Backup""}"
Deploy GCP Backup,execute_script,terraform,gcp/terraform_gcp_backup,gcp,,"gcp,backup,recovery","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_backup"", ""explanation"": ""GCP Backup""}"
Create GCP Cloud Run using terraform,execute_script,terraform,gcp/terraform_gcp_cloudrun,gcp,,"gcp,cloudrun,serverless,container","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_cloudrun"", ""explanation"": ""GCP Cloud Run""}"
Provision GCP Cloud Run with terraform,execute_script,terraform,gcp/terraform_gcp_cloudrun,gcp,,"gcp,cloudrun,serverless,container","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_cloudrun"", ""explanation"": ""GCP Cloud Run""}"
Set up GCP Cloud Run,execute_script,terraform,gcp/terraform_gcp_cloudrun,gcp,,"gcp,cloudrun,serverless,container","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_cloudrun"", ""explanation"": ""GCP Cloud Run""}"
Deploy GCP Cloud Run,execute_script,terraform,gcp/terraform_gcp_cloudrun,gcp,,"gcp,cloudrun,serverless,container","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_cloudrun"", ""explanation"": ""GCP Cloud Run""}"
Create GCP Cloud Run with LB using terraform,execute_script,terraform,gcp/terraform_gcp_cloudrun_lb,gcp,,"gcp,cloudrun,loadbalancer","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_cloudrun_lb"", ""explanation"": ""GCP Cloud Run with LB""}"
Provision GCP Cloud Run with LB with terraform,execute_script,terraform,gcp/terraform_gcp_cloudrun_lb,gcp,,"gcp,cloudrun,loadbalancer","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_cloudrun_lb"", ""explanation"": ""GCP Cloud Run with LB""}"
Set up GCP Cloud Run with LB,execute_script,terraform,gcp/terraform_gcp_cloudrun_lb,gcp,,"gcp,cloudrun,loadbalancer","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_cloudrun_lb"", ""explanation"": ""GCP Cloud Run with LB""}"
Deploy GCP Cloud Run with LB,execute_script,terraform,gcp/terraform_gcp_cloudrun_lb,gcp,,"gcp,cloudrun,loadbalancer","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_cloudrun_lb"", ""explanation"": ""GCP Cloud Run with LB""}"
Create GCP Database Migration using terraform,execute_script,terraform,gcp/terraform_gcp_dms,gcp,,"gcp,dms,migration","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_dms"", ""explanation"": ""GCP Database Migration""}"
Provision GCP Database Migration with terraform,execute_script,terraform,gcp/terraform_gcp_dms,gcp,,"gcp,dms,migration","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_dms"", ""explanation"": ""GCP Database Migration""}"
Set up GCP Database Migration,execute_script,terraform,gcp/terraform_gcp_dms,gcp,,"gcp,dms,migration","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_dms"", ""explanation"": ""GCP Database Migration""}"
Deploy GCP Database Migration,execute_script,terraform,gcp/terraform_gcp_dms,gcp,,"gcp,dms,migration","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_dms"", ""explanation"": ""GCP Database Migration""}"
Create GCP Firestore using terraform,execute_script,terraform,gcp/terraform_gcp_firestore,gcp,,"gcp,firestore,nosql,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_firestore"", ""explanation"": ""GCP Firestore""}"
Provision GCP Firestore with terraform,execute_script,terraform,gcp/terraform_gcp_firestore,gcp,,"gcp,firestore,nosql,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_firestore"", ""explanation"": ""GCP Firestore""}"
Set up GCP Firestore,execute_script,terraform,gcp/terraform_gcp_firestore,gcp,,"gcp,firestore,nosql,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_firestore"", ""explanation"": ""GCP Firestore""}"
Deploy GCP Firestore,execute_script,terraform,gcp/terraform_gcp_firestore,gcp,,"gcp,firestore,nosql,database","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_firestore"", ""explanation"": ""GCP Firestore""}"
Create GCP Cloud Function using terraform,execute_script,terraform,gcp/terraform_gcp_function,gcp,,"gcp,function,serverless","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_function"", ""explanation"": ""GCP Cloud Function""}"
Provision GCP Cloud Function with terraform,execute_script,terraform,gcp/terraform_gcp_function,gcp,,"gcp,function,serverless","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_function"", ""explanation"": ""GCP Cloud Function""}"
Set up GCP Cloud Function,execute_script,terraform,gcp/terraform_gcp_function,gcp,,"gcp,function,serverless","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_function"", ""explanation"": ""GCP Cloud Function""}"
Deploy GCP Cloud Function,execute_script,terraform,gcp/terraform_gcp_function,gcp,,"gcp,function,serverless","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_function"", ""explanation"": ""GCP Cloud Function""}"
Create GCP GKE Kubernetes using terraform,execute_script,terraform,gcp/terraform_gcp_gke,gcp,,"gcp,gke,kubernetes,cluster","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_gke"", ""explanation"": ""GCP GKE Kubernetes""}"
Provision GCP GKE Kubernetes cluster with terraform,execute_script,terraform,gcp/terraform_gcp_gke,gcp,,"gcp,gke,kubernetes,cluster","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_gke"", ""explanation"": ""GCP GKE Kubernetes""}"
Set up Kubernetes on GCP,execute_script,terraform,gcp/terraform_gcp_gke,gcp,,"gcp,gke,kubernetes,cluster","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_gke"", ""explanation"": ""GCP GKE Kubernetes""}"
Deploy GCP GKE Kubernetes,execute_script,terraform,gcp/terraform_gcp_gke,gcp,,"gcp,gke,kubernetes,cluster","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_gke"", ""explanation"": ""GCP GKE Kubernetes""}"
Create GCP Memorystore Redis using terraform,execute_script,terraform,gcp/terraform_gcp_memorystore,gcp,,"gcp,memorystore,redis,cache","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_memorystore"", ""explanation"": ""GCP Memorystore Redis""}"
Provision GCP Memorystore Redis with terraform,execute_script,terraform,gcp/terraform_gcp_memorystore,gcp,,"gcp,memorystore,redis,cache","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_memorystore"", ""explanation"": ""GCP Memorystore Redis""}"
Set up GCP Memorystore Redis,execute_script,terraform,gcp/terraform_gcp_memorystore,gcp,,"gcp,memorystore,redis,cache","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_memorystore"", ""explanation"": ""GCP Memorystore Redis""}"
Deploy GCP Memorystore Redis,execute_script,terraform,gcp/terraform_gcp_memorystore,gcp,,"gcp,memorystore,redis,cache","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_memorystore"", ""explanation"": ""GCP Memorystore Redis""}"
Create GCP Elastic IP using terraform,execute_script,terraform,gcp/terraform_gcp_networks_elastic_ip,gcp,,"gcp,ip,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_networks_elastic_ip"", ""explanation"": ""GCP Elastic IP""}"
Provision GCP Elastic IP with terraform,execute_script,terraform,gcp/terraform_gcp_networks_elastic_ip,gcp,,"gcp,ip,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_networks_elastic_ip"", ""explanation"": ""GCP Elastic IP""}"
Set up GCP Elastic IP,execute_script,terraform,gcp/terraform_gcp_networks_elastic_ip,gcp,,"gcp,ip,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_networks_elastic_ip"", ""explanation"": ""GCP Elastic IP""}"
Deploy GCP Elastic IP,execute_script,terraform,gcp/terraform_gcp_networks_elastic_ip,gcp,,"gcp,ip,network","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_networks_elastic_ip"", ""explanation"": ""GCP Elastic IP""}"
Create GCP Firewall using terraform,execute_script,terraform,gcp/terraform_gcp_networks_firewall,gcp,,"gcp,firewall,network,security","{""action"": ""execute"", ""type"": ""terraform"", ""path"": ""gcp/terraform_gcp_networks_firewall"", ""explanation"": ""GCP Firewall""}"
